id,quote,author
1,"Nobody exists on purpose. Nobody belongs anywhere.",Morty
2,"We're all going to die. Come watch TV.",Morty
3,"Losers look stuff up while the rest of us are carpin' all them diems.",Summer
4,"He's not a hot girl. He can't just bail on his life and set up shop in someone else's.",Beth
5,"When you are an a—hole, it doesn't matter how right you are. Nobody wants to give you the satisfaction.",Morty
6,"God's turning people into insect monsters, Beth. I'm the one beating them to death. Thank me.",Jerry
7,"Camping is just being homeless without the change.",Summer
8,"This seems like a good time for a drink and a cold, calculated speech with sinister overtones. A speech about politics, about order, brotherhood, power ... but speeches are for campaigning. Now is the time for action.",Morty
9,"Having a family doesn't mean that you stop being an individual. You know the best thing you can do for the people that depend on you? Be honest with them, even if it means setting them free.",Mr. Meeseeks
10,"If I've learned one thing, it's that before you get anywhere in life, you gotta stop listening to yourself.",Jerry
11,"I just want to go back to Hell, where everyone thinks I'm smart and funny.",Mr. Needful
12,"Hi Mr. Jellybean, I'm Morty. I’m on an adventure with my grandpa.",Morty
13,"You're not the cause of your parents' misery. You're just a symptom of it.",Summer
14,"Don't deify the people who leave you.",Beth
15,"Well, then get your s—t together, get it all together, and put it in a backpack, all your s—t, so it's together. And if you gotta take it somewhere, take it somewhere, you know, take it to the s—t store and sell it, or put it in the s—t museum. I don't care what you do, you just gotta get it together. Get your s—t together.",Morty
16,"At least the devil has a job!",Summer
17,"Life is effort and I'll stop when I die!",Jerry
18,"I just killed my family! I don't care what they were!",Morty
19,"It's funny to say they are small. It's funny to say they are big.",Shrimply Pibbles
20,"You're holding me verbally hostage.",Summer
21,"Honey, stop raising your father's cholesterol so you can take a hot funeral selfie.",Beth
22,"Rick, when you say you made an exact replica of the house, did you mean, like, an exact replica?",Morty
23,"Give a gun to the lady who got pregnant with me too early and constantly makes it our problem.",Summer
24,"Say goodbye to your precious dry land! For soon it will be wet!",Mr. Nimbus
25,"Nobody's smarter than Rick, but nobody else is my dad. You're a genius at that.",Morty
26,"B—h, my generation gets traumatized for breakfast.",Summer
27,"Inception made sense!",Morty
28,"I realize now I'm attracted to you for the same reason I can't be with you: You can't change. And I have no problem with that, but it clearly means I have a problem with myself.",Unity
29,"Mr. President, if I've learned one thing today, it's that sometimes you have to not give a f—k!",Morty
30,"I didn't know freedom meant people doing stuff that sucks.",Summer
31,"How many of these are just horrible mistakes I made? I mean, maybe I'd stop making so many if I let myself learn from them.",Morty
32,"I'm a scientist because I invent, transform, create, and destroy for a living. And when I don't like something about the world, I change it.",Rick
33,"Wubba lubba dub dub!",Rick
34,"I turned myself into a pickle, Morty! I'm Pickle Rick!",Rick
35,"I know about the Yosemite T-shirt, Morty.",Rick
36,"The universe is basically an animal. It grazes on the ordinary. It creates infinite idiots just to eat them.",Rick
37,"If I die in a cage, I lose a bet.",Rick
38,"Sometimes science is more art than science.",Rick
39,"To live is to risk it all—otherwise, you're just an inert chunk of randomly assembled molecules drifting wherever the universe blows you.",Rick
40,"Welcome to the club, pal.",Rick
41,"So I have an emo streak. It's part of what makes me so rad.",Rick
42,"Listen, I'm not the nicest guy in the universe, because I'm the smartest, and being nice is something stupid people do to hedge their bets.",Rick
43,"Wait a minute! Is that Mountain Dew in my quantum-transport-solution?",Rick
44,"Listen, Morty, I hate to break it to you, but what people call 'love' is just a chemical reaction that compels animals to breed.",Rick
45,"Break the cycle, Morty. Rise above. Focus on science.",Rick
46,"Don't get drawn into the culture, Morty. Stealing stuff is about the stuff, not the stealing.",Rick
47,"I'm sorry, but your opinion means very little to me.",Rick
48,"You don't get to tell anyone what's sad. You’re like a one-man Mount Sadmore. So I guess like a Lincoln Sadmorial.",Rick
49,"This pickle doesn't care about your children. I'm not gonna take their dreams. I'm gonna take their parents.",Rick
50,"I programmed you to believe that.",Rick
51,"Have fun with empowerment. It seems to make everyone that gets it really happy.",Rick
52,"Thanks, Mr. Poopybutthole. I always could count on you.",Rick
53,"Weddings are basically funerals with a cake.",Rick
54,"I mean, if you spend all day shuffling words around, you can make anything sound bad, Morty.",Rick
55,"It's your choice to take this personally.",Rick
56,"Excuse me, coming through. What are you here for? Just kidding, I don't care.",Rick
57,"If I let you make me nervous, then we can't get schwifty.",Rick
58,"Oh, boy, so you actually learned something today? What is this, Full House?",Rick
59,"I can't abide bureaucracy. I don't like being told where to go and what to do. I consider it a violation. Did you get those seeds all the way up your butt?",Rick
60,"I think you have to think ahead and live in the moment.",Rick
61,"I know that new situations can be intimidating. You're lookin' around and it's all scary and different, but you know, meeting them head-on, charging into 'em like a bull—that's how we grow as people.",Rick
